N,P,K,temperature,humidity,ph,rainfall,label
98,35,35,21.84106875,80.72886384,6.9462098810000015,202.3838319,rice
95,37,36,20.08369642,83.29114712,5.739175027000001,263.6372176,rice
62,55,37,24.45802087,82.74835604,6.738652179,182.5616319,rice
85,52,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice
92,54,37,25.78720567,82.11124033,6.946636369,243.5120414,rice
68,47,42,23.64124821,80.28597873,5.012139669,263.1103304,rice
89,40,41,23.43191632,80.56887849,6.363472207999999,269.5039162,rice
85,53,37,24.97669518,83.891805,6.880431223,204.8001847,rice
60,41,43,22.72791041,82.17068809999998,7.300410836,260.8875056,rice
100,58,39,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice
80,60,39,21.32376327,83.00320459,7.283736617000001,192.3197536,rice
99,48,37,26.29465461,84.56919326,7.023936392,257.4914906,rice
92,54,40,22.2286982,81.85872947,6.939083505,278.0791793,rice
62,51,43,26.73072391,81.78596776,7.868474653,280.4044392,rice
99,48,41,24.88921174,81.97927117,5.005306977,185.9461429,rice
60,35,39,26.88444878,81.46033732,6.136131869,194.5766559,rice
88,46,42,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice
64,56,37,26.08867875,80.37979919,5.706943251,182.9043504,rice
70,47,35,25.42977518,82.94682591,5.758506323,195.3574542,rice
64,58,41,26.40323239,81.05635517,6.349606327,223.3671883,rice
96,49,45,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice
88,38,38,25.2827223,80.54372813,5.453592032,220.1156708,rice
95,42,40,22.08576562,83.47038318,6.372576327000001,231.7364957,rice
89,55,44,23.28617173,81.43321641,5.105588355,242.3170629,rice
78,53,36,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice
63,56,36,23.67575393,81.03569343,5.17782304,233.7034975,rice
94,45,41,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice
100,59,39,26.92995077,81.91411159,7.069172227,290.67937830000005,rice
73,53,45,23.83509503,83.88387074,7.473134377,241.20135130000003,rice
90,59,37,26.52872817,80.12267476,6.158376967000001,218.9163567,rice
90,53,38,26.46428311,83.85642678,7.549873681,248.2256491,rice
86,53,35,22.69657794,82.81088865,6.028321557999999,256.9964761,rice
95,39,45,22.68319059,83.46358271,6.604993475,194.2651719,rice
64,57,45,21.53346343,82.14004101,6.500343222000001,295.9248796,rice
100,46,39,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice
98,56,40,26.54348085,84.67353597,7.072655622,183.6222657,rice
74,52,38,23.35905428,83.59512273,5.333322606,188.413665,rice
86,53,23,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize
84,47,21,26.10018422,71.57476937,6.931756557999999,102.2662445,maize
62,60,21,23.55882094,71.59351368,6.657964753,66.71995467,maize
96,43,20,19.97215954,57.68272924,6.596060648,60.65171481,maize
76,52,24,18.47891261,62.69503871,5.970458434,65.43835393,maize
85,50,17,21.77689322,57.80840636,6.158830619,102.0861694,maize
67,49,20,25.6217169,66.50415474,6.047906679,105.4654703,maize
76,55,24,25.19192419,66.69029010000001,5.913664501,78.06639649,maize
92,54,18,20.41683147,62.55424820000001,5.855442401,65.27798457,maize
62,50,21,24.92162194,66.78627406,5.750254943,109.2162279,maize
88,56,20,23.31689124,73.4541537,5.852607099,94.29712821,maize
62,60,23,24.84016732,68.3584573,6.4725232870000005,74.05474936,maize
92,48,16,22.27526694,58.84015925,6.9670577620000005,63.87020584,maize
61,48,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
91,46,18,25.19008683,60.200168700000006,5.919045532,72.12375573,maize
96,38,23,18.25405352,55.28220433,6.204747652999999,63.72358154,maize
70,51,19,24.612911800000006,70.4162444,6.600827017,104.1626147,maize
93,49,17,25.1420613,65.26185135,6.021902237000001,76.68456006,maize
76,57,20,23.09348056,60.11593810000001,6.033550195,65.49730729,maize
81,57,23,18.05033737,62.89366992,6.28886807,84.23613484,maize
83,56,24,24.9321581,73.80435276,6.550563822999999,79.74078719,maize
66,39,19,18.14710054,71.09445342,5.573286437,88.07753741,maize
84,35,19,18.28362235,66.65952796,6.829199275,80.97573281,maize
87,41,17,18.83344471,58.75082029,5.716222912,79.75328959999999,maize
95,53,25,25.71895816,67.22190688,5.54990242,74.51490791,maize
65,53,15,25.33797709,68.49835977,6.586244581,96.46380213,maize
60,46,18,23.89114571,57.48775781,5.893093135,102.8301942,maize
98,37,21,21.53574127,71.50905983,5.918263801,102.4852929,maize
78,35,23,23.08974909,63.10459626,5.588650585,70.43473609,maize
80,37,20,25.61707368,63.4711755,6.576418207000001,108.8303762,maize
95,55,24,21.44526922,63.1621551,6.178056304,65.88951188,maize
100,46,25,18.51816776,55.53128131,6.641906353,90.988051,maize
94,41,20,22.53510514,67.99257471,6.489040367,64.40866039,maize
69,37,24,23.02038334,61.89472002,5.680361037999999,63.03843397,maize
87,35,20,24.89364635,65.61418761,6.625404347999999,87.9298085,maize
75,35,20,25.77175115,74.089114,6.524478032,107.4931917,maize
90,49,19,19.39851734,62.35750641,5.696205468,60.95197486,maize
61,58,22,21.54156232,59.64024162,6.803931519,109.7515385,maize
79,35,17,23.79746068,74.82913698,6.252797547999999,91.76337172,maize
99,45,16,18.9802729,74.52600826,6.092725883,94.26249353,maize
100,48,23,24.10859207,73.13112261,6.234330356,71.07562236,maize
94,50,19,24.7947077,70.04556743,5.722579819,76.72860067,maize
91,54,16,21.63162756,60.27766379,6.430616465,69.21803098,maize
75,39,21,25.37548751,57.21025565,5.983952675,101.7004306,maize
94,49,22,22.21738222,72.85462807,6.80163854,106.6213157,maize
70,51,19,20.58314011,69.00128641,6.499936446,66.29390357,maize
67,38,15,24.87502824,68.74248334,6.265564338,91.26056654,maize
100,52,24,20.03728219,56.35606753,6.727303282,109.024141,maize
88,45,21,25.95263264,61.89082199,6.325235159,99.57981207,maize
70,45,25,19.28889933,65.47050802,6.807487794,71.3195307,maize
67,51,24,20.57981887,65.34583901,6.671085817000001,78.34604471,maize
91,58,23,24.71417533,56.73426469,6.648725327,88.45361858,maize
86,38,22,20.27317074,63.91281869,6.439071996,62.50351892,maize
83,52,22,18.41932981,64.23580251,6.474476516,76.41312437,maize
97,53,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
71,37,17,19.84939404,61.24500053,5.730617109,100.7689246,maize
64,44,22,21.869274,61.91044947,5.850439831,107.2681929,maize
86,45,25,22.8056033,56.50768935,5.791649933,101.5952794,maize
84,54,15,19.0781471,69.02298571,6.740000687999999,80.72515943,maize
71,52,19,22.02720976,65.35549924,6.272417541,83.73280082,maize
66,48,24,23.80546189,59.24537979,5.715208817000001,89.96220140000001,maize
65,58,21,18.52510753,69.0276233,5.773454729,88.10234397,maize
68,46,17,23.50297882,61.32026065,5.584171461,64.77791424,maize
89,54,15,26.54986394,72.89187265,5.787268394,73.33636055,maize
68,59,23,19.29563411,69.63481219,5.77597783,83.21030571,maize
75,58,25,20.68899915,59.4375337,6.864793607,103.651438,maize
86,54,23,19.32666088,68.03449300000001,6.192360002999999,84.22969177,maize
82,44,23,24.60532218,73.58868502,6.636803222999999,96.59195302,maize
95,35,16,22.27373646,59.52193158,5.826426917,67.96704792,maize
77,37,24,25.70196694,61.33450447,6.960358276,83.20711308,maize
93,40,19,19.20129357,68.30578978,6.11275104,87.85092352,maize
77,59,15,21.70181447,60.47470519,6.708446922,95.71388473,maize
69,52,22,20.51716779,59.21235483,5.561510732,67.61013737,maize
70,55,20,23.30355338,73.62548442,5.873242491,97.59081274,maize
94,35,17,24.2547451,55.64709899,6.995843776,64.23845455,maize
61,45,17,24.86374934,65.7420046,5.714799723,75.82270467,maize
69,40,24,22.6265115,65.77472881,6.78073637,88.17251033,maize
93,37,25,18.04185513,60.61494304,5.513697923,104.2321615,maize
63,43,15,23.26237612,72.33125523,5.798423907999999,67.10225139,maize
74,36,15,22.88330922,71.59722446,6.352471866,67.72777298,maize
65,47,23,25.97482359,69.36385721,6.822586546,103.2234212,maize
92,47,15,26.14384005,66.20569924,6.655426355,107.2361366,maize
73,52,17,18.66116213,61.55327249,6.1212940410000005,75.03247667,maize
87,35,21,25.10787449,55.97732754,5.790770202999999,78.16077693,maize
66,59,22,23.33844615,59.24580604,6.47444292,105.0083144,maize
94,39,20,25.08239719,65.92195844,6.455116637000001,62.49190812,maize
73,52,17,25.36768364,72.52054555,6.6069840860000015,107.9124111,maize
70,47,24,25.34217103,63.31801994,6.330554389,74.52082026,maize
82,36,19,25.00933355,67.816568,6.5286312660000005,62.91359494,maize
74,35,16,18.66746724,71.516474,5.721667141,69.93293255,maize
74,60,19,20.37999665,63.73849998,6.644205485,108.5054416,maize
88,45,20,18.09300227,72.61024172,6.376651091,78.96159541,maize
63,37,16,26.16985907,71.96246617,6.247040422,79.84925393,maize
63,58,24,18.65396672,61.37879671,6.656730007999999,93.62039175,maize
87,49,19,26.07470121,59.37147589,6.2048017,85.75692395,maize
93,49,21,18.92851916,72.80086137,6.158860284,82.34162918,maize
95,51,24,23.30546753,63.24648023,6.3856842139999985,108.7603001,maize
79,45,23,18.74826712,62.49878458,6.417820493,70.23401597,maize
72,51,20,19.74213321,59.66263104,6.381201909,65.50861389,maize
82,35,24,25.73044432,70.74739256,6.877869005,98.73771338,maize
2,67,18,17.13692774,20.59541693,5.68597166,128.256862,kidney beans
39,69,24,19.63474332,18.90705639,5.759237003,106.3598183,kidney beans
30,65,16,22.91350245,21.33953114,5.873171894,109.225556,kidney beans
23,55,18,16.43340342,24.24045875,5.926676985,140.3717815,kidney beans
13,75,23,22.13974653,23.02251117,5.95561668,76.64128258,kidney beans
8,80,18,17.84806561,18.77621951,5.9499490810000015,143.09841709999995,kidney beans
23,74,20,19.88394011,20.31564139,5.7892142889999985,60.91974792,kidney beans
4,58,15,19.32509638,23.3334788,5.581021521,104.7783947,kidney beans
39,56,24,18.416700100000003,23.42829938,5.689858133,132.9801054,kidney beans
27,71,16,21.81167649,23.20591245,5.7941585039999985,130.0608093,kidney beans
25,64,21,19.72702528,18.28173015,5.748190462999999,143.7630894,kidney beans
7,70,19,17.15432954,19.87070659,5.566522896,87.99669731,kidney beans
16,55,18,19.62207826,18.67170854,5.809419584,144.1567454,kidney beans
30,72,22,21.63149148,21.17919701,5.887263027,134.3649948,kidney beans
18,74,15,16.06522754,18.72479695,5.99812453,88.06638775,kidney beans
6,65,22,20.61162204,24.36314135,5.792744849,69.63833855,kidney beans
20,69,16,21.42451099,20.39659714,5.912289889,116.5206923,kidney beans
15,77,23,19.07096165,21.21092266,5.7883869510000014,86.21917578,kidney beans
35,72,23,21.18853178,19.63438599,5.728233081,137.1948633,kidney beans
3,58,25,23.0429097,22.42610972,5.833940084,108.3684316,kidney beans
29,71,17,20.65375833,23.10538637,5.967533236,67.71768947,kidney beans
32,77,23,18.09551014,18.29318436,5.6250964460000015,144.7902323,kidney beans
14,56,15,18.23775702,21.07643273,5.515615023,69.44951585,kidney beans
1,62,20,17.48189735,18.8251973,5.954665349,121.9401369,kidney beans
24,55,23,19.9191786,21.47324158,5.74644777,82.68554379,kidney beans
37,74,16,20.27514686,23.2353604,5.877347515,139.7521543,kidney beans
36,63,25,15.77370214,19.2303162,5.979973965,108.3441414,kidney beans
23,61,24,16.71170642,19.17651433,5.635993966,96.77285817,kidney beans
21,66,18,17.66148158,18.15302753,5.635231778,100.6711761,kidney beans
14,72,20,18.50692825,23.61670065,5.679224346,87.05132890000002,kidney beans
12,79,19,24.51324787,20.81527638,5.670062975,64.19497947,kidney beans
17,58,17,18.87614998,24.54038287,5.724242065,105.4120514,kidney beans
28,59,23,21.59343016,20.31871249,5.811314232000001,61.13872036,kidney beans
18,59,15,20.12373284,24.45202552,5.783425416,106.158201,kidney beans
26,68,18,15.43546065,18.37477907,5.607808432000001,139.0302034,kidney beans
1,70,16,22.64236876,21.59396123,5.946999529,122.3886015,kidney beans
6,67,16,21.98560799,24.87304788,5.852046999,129.5650601,kidney beans
29,77,17,20.53052663,18.09224048,5.824090984,120.4509288,kidney beans
35,80,20,15.78601387,21.14544088,5.502999119,95.17028129,kidney beans
8,59,24,19.6365349,19.68751084,5.821649914,96.65888933,kidney beans
10,66,17,20.57341244,19.7520218,5.711439256,87.87869161,kidney beans
29,73,18,20.16080524,24.84207559,5.514927264,138.2362122,kidney beans
33,80,18,21.53989176,24.25386207,5.99616119,120.6913038,kidney beans
34,59,22,15.53834801,23.75560241,5.695422862999999,107.3850593,kidney beans
16,56,18,19.91853092,20.70099804,5.833010957999999,108.6434544,kidney beans
27,69,17,20.76952209,18.93146941,5.568456899,109.0193712,kidney beans
9,76,20,23.46168338,23.22197648,5.645435626,95.84253438,kidney beans
19,79,17,24.32116642,21.0278674,5.821194486,60.27552528,kidney beans
29,68,18,20.12574053,24.96969858,5.659254981,100.0497183,kidney beans
10,58,24,21.80619564,18.57086554,5.945465949,125.0972687,kidney beans
20,77,19,19.52226241,24.92607153,5.9511774520000005,113.334026,kidney beans
19,59,17,17.00067625,19.90790546,5.5208800139999985,103.2926407,kidney beans
8,74,18,16.78791503,24.96881755,5.578410206,75.45328039,kidney beans
32,60,21,24.84906168,22.89464642,5.608165195,62.21292186,kidney beans
6,68,20,16.51783455,20.4555596,5.609435127999999,98.77794225,kidney beans
10,75,22,18.15300153,19.38602098,5.509295379,107.6907964,kidney beans
5,62,24,23.18864385,22.3104551,5.902033406,63.38208822,kidney beans
40,69,17,23.38002569,21.98879437,5.744117663,87.66898664,kidney beans
31,62,20,18.358923,19.37703396,5.717143397,138.414764,kidney beans
19,63,16,19.25975367,20.51346956,5.542690119,94.9533526,kidney beans
0,64,23,22.95458237,24.03553105,5.858617867,107.7315386,kidney beans
23,71,22,20.120043,22.89845607,5.618844277000001,104.6252153,kidney beans
1,65,16,21.14011423,22.7182355,5.6066203460000015,141.6056722,kidney beans
7,79,25,24.92360104,18.22590825,5.582178402,62.7089169,kidney beans
20,65,16,15.33042636,24.91506728,5.56503533,135.3315583,kidney beans
32,61,19,18.81097271,21.27833035,5.889614577000001,125.084915,kidney beans
4,74,15,23.44260668,22.77255917,5.934136378,107.4137246,kidney beans
11,57,21,22.8352024,18.97267518,5.683548308,63.59276673,kidney beans
20,63,15,24.9035819,22.27512704,5.70836603,146.4727237,kidney beans
27,65,16,23.78709569,24.35679348,5.948164454,119.6404412,kidney beans
4,73,21,22.05592283,19.60379304,5.7747551439999985,126.7265372,kidney beans
36,63,15,18.87492997,20.18238348,5.97229163,134.1811718,kidney beans
1,76,23,18.62328774,23.02410338,5.532100554,135.33780330000002,kidney beans
36,55,15,23.00884744,18.86880997,5.669560726,100.118612,kidney beans
17,80,24,19.33162606,24.13995025,5.655726817000001,68.51253427,kidney beans
13,63,18,16.24469193,21.35793891,5.5917040139999985,66.97053257,kidney beans
26,78,24,17.91652287,24.90814655,5.932323085,69.14681022,kidney beans
17,69,18,15.46789263,21.43780702,5.8242083089999985,88.88796102,kidney beans
1,78,16,17.06104474,23.77201471,5.86442953,81.83420522,kidney beans
32,76,24,21.32776028,18.48522915,5.866744372,109.1013261,kidney beans
24,75,25,23.90910104,20.74619325,5.706198621,81.60211243,kidney beans
13,59,15,23.89756791,22.74378977,5.940546818,112.6616435,kidney beans
21,68,23,22.98666928,20.57940608,5.916779289,143.85849380000005,kidney beans
15,60,24,21.35135729,22.91244883,5.779090476,146.4548645,kidney beans
38,70,17,24.1638445,19.27907819,5.82738029,116.7324324,kidney beans
1,73,15,24.62835037,18.18325169,5.514234138,149.7441028,kidney beans
39,59,17,21.02213209,24.93896255,5.662699104,124.6118471,kidney beans
16,60,17,17.30844532,20.01730914,5.86390397,115.199245,kidney beans
15,59,24,23.82576704,24.75485098,5.624690247999999,84.64143632,kidney beans
13,66,19,19.30607278,23.96362799,5.591560999,129.3449326,kidney beans
7,64,18,16.03768615,22.33195853,5.976312537999999,130.3900798,kidney beans
39,58,23,19.18572809,20.83398341,5.669236258,80.15293435,kidney beans
5,73,15,19.92889503,21.79992115,5.961934481,64.02640797,kidney beans
6,80,24,19.56376468,24.67385131,5.690065688,139.2921004,kidney beans
6,71,20,18.31357543,24.32991649,5.698371311,76.14153904,kidney beans
14,78,16,20.10993761,23.22323766,5.59503163,73.36386477,kidney beans
11,71,16,23.60506572,21.90539577,5.5259045260000015,100.5978728,kidney beans
29,55,18,19.73136909,24.89487354,5.819403771,84.06354115,kidney beans
15,77,17,20.93409877,21.1893007,5.562201934,133.1914419,kidney beans
6,73,20,18.78226261,20.24768314,5.630664753,104.2570723,kidney beans
56,65,18,29.48439992,63.19915325,7.454532137,71.89090748,black gram
35,71,17,26.73433965,68.13999721,7.040056094,67.15096376,black gram
51,70,20,26.27274407,62.28814857,7.418650668,70.23207557,black gram
28,57,25,34.03679184,67.21113844,6.501869314,73.23573601,black gram
24,76,19,28.03644051,65.06601664,6.814410927999999,72.49507741,black gram
29,77,15,28.81460716,65.33538112,7.581442888,62.26242533,black gram
60,71,21,34.03619494,64.28791388,7.741418772,66.85510868,black gram
49,78,20,33.8642935,61.57072498,6.573531614,68.02199825,black gram
34,70,19,32.84213012,68.68401492,7.543804222999999,73.67166182,black gram
48,64,25,27.10053268,63.36085585,6.5408208,73.84949872,black gram
42,76,25,25.65842532,61.18235808,7.22405917,69.28607828,black gram
37,55,16,32.34744009,66.61452812,7.551364319,64.55882254,black gram
60,64,24,29.58949031,68.32176769,6.928898659,67.53021213,black gram
42,63,19,30.91219459,68.79427388,7.747775262999999,66.63830637,black gram
32,63,22,28.12787838,64.2097765,6.706505915,70.86340755,black gram
39,77,17,30.08545364,69.34811988,6.668238556,67.1367443,black gram
52,74,20,31.74379487,62.51007687,7.332375138,68.97097538,black gram
48,65,21,27.81326852,62.50460464,7.596802025,69.75555541,black gram
55,58,19,32.88733849,64.59457409,7.70650895,71.50569456,black gram
33,73,15,29.36358721,64.98742947,7.366542647,61.91208707,black gram
24,78,20,27.82592799,67.58618829999999,6.919243702,74.01229707,black gram
21,70,25,28.49538735,60.44848407,7.187721817999999,74.91559514,black gram
47,79,23,27.74274761,68.53997144,7.0758864720000005,71.78615328,black gram
34,62,21,30.41588462,67.66323804,6.74441168,63.02473185,black gram
21,75,23,27.3254209,69.09047809,6.726469087999999,61.19250859,black gram
46,58,15,30.28496619,61.69295127,6.628264883,65.62859526,black gram
48,73,21,28.56840626,61.53278622,7.127064207,63.49726331,black gram
22,72,20,25.36586097,66.6379724,7.538631462000001,65.81655892,black gram
23,76,18,34.9466155,65.26774011,7.162357641,70.1415139,black gram
45,80,21,25.09737391,67.72837887,6.859409487000001,74.61649888,black gram
59,68,22,32.47648301,64.34848735,7.397190844,65.82045699999999,black gram
28,68,20,33.86351172,68.59232289,6.880245789,69.24464096,black gram
26,76,24,25.19857725,60.37332688,6.581313137,70.88787207,black gram
25,55,18,31.77681682,69.01852894,7.296972161,61.46892873,black gram
26,72,17,34.89814946,63.59948557,6.97297656,64.72797143,black gram
31,60,22,31.74105409,68.63525428,7.241148507,62.3061735,black gram
46,62,16,27.16159076,66.76017239,6.92009048,69.85112265,black gram
35,56,24,26.23773129,67.88521396,7.504608385,73.58663968,black gram
40,56,23,30.20157245,60.06534859,7.152272256,66.37171179,black gram
27,68,22,31.55846339,67.83563765,7.137004749,74.86960831,black gram
25,79,17,29.67892453,69.0854554,6.8080417220000005,65.66436565,black gram
48,66,19,27.05365239,67.7017527,7.393631868,60.4693835,black gram
41,69,16,34.63880966,61.38597868,7.69950698,72.43169115,black gram
56,79,19,33.39438752,62.93692886,6.6028882489999985,63.57445989,black gram
36,75,16,28.84079155,63.37230676,6.734447425,70.25496749,black gram
38,64,24,31.49338309,63.0563645,6.521217963,71.48327008,black gram
53,77,21,25.54960633,63.95425534,7.707332484,63.1830529,black gram
21,80,18,34.37329112,69.69366426,6.596719015,70.27184748,black gram
25,60,17,34.600824700000004,63.11296779,7.403623355,60.41790253,black gram
28,56,20,29.43463808,64.94329356,7.517097,72.17818157,black gram
46,77,22,29.10713092,67.90577375,7.17620823,67.83345933,black gram
44,65,19,28.57006111,65.71765781,6.593961761,70.0866434,black gram
47,78,24,27.54384835,69.3478631,7.143942758,69.40878198,black gram
57,62,17,33.04687968,68.93875631,6.690655045,62.30278274,black gram
41,70,19,33.95309131,69.96100028,7.423530351,61.16350463,black gram
21,78,23,30.11873003,60.11680815,6.578714842999999,71.72980375,black gram
38,60,16,29.57812712,66.17587668,7.497469256,69.43895491,black gram
38,65,25,27.26458947,68.01232937,7.775306272000001,68.91754359,black gram
44,74,18,31.35730791,64.24992106,7.322555222999999,63.85668948,black gram
46,66,16,31.52104732,66.55723677,7.580527339,61.71111448,black gram
40,71,16,29.39982732,64.25510719,7.1084501210000015,67.47677295,black gram
53,56,23,29.38400259,64.14928485,7.358974541,65.24194361,black gram
22,78,23,28.38686534,61.88871127,7.405176138,74.24459122,black gram
23,69,22,28.47442276,63.53604453,6.500144962,69.5274407,black gram
56,80,17,30.64095781,61.14508627,7.167435834,71.36947525,black gram
42,55,22,25.25596239,61.36669662,7.261791753,68.64685069,black gram
20,57,21,32.97030511,60.18122078,7.586642101,73.44678678,black gram
37,58,20,33.66855394,66.60416867,7.534811832999999,67.32520551,black gram
43,58,16,32.83963757,67.99803573,7.251000789,73.40452716,black gram
38,64,23,27.45853567,62.90020977,6.513620917999999,69.46020927,black gram
41,75,18,25.68576704,69.84354028,7.121254928,74.62068748,black gram
41,72,15,30.0328403,64.14800537,7.574561547,71.21006868,black gram
31,57,21,28.20667264,68.27085245,7.350869792,64.32887142,black gram
28,60,17,28.27265858,61.18956161,7.5131510760000015,63.29900785,black gram
45,73,17,28.541723600000005,64.2020154,7.0256077060000015,69.68862306,black gram
37,63,22,26.87187036,61.61367264,6.804253866,63.51822045,black gram
46,76,23,32.79766751,68.77994074,7.163043872,64.11411069,black gram
32,72,22,26.42333018,64.51136845,7.338929556,63.46546487,black gram
24,75,20,29.79181107,63.38789228,6.621323612,63.02169909,black gram
31,77,25,27.44003279,67.10464369,6.661870999,72.50669768,black gram
37,66,25,34.1262979,65.14877461,7.733149554,70.40795007,black gram
34,73,17,30.94908189,64.23364112,7.402891666,62.78730907,black gram
24,70,23,28.75751783,61.02701476,6.599147297999999,73.37686831,black gram
37,76,17,27.24766491,66.10123083,7.04174124,62.31842057,black gram
45,72,25,28.63005477,66.770943,7.353876754,62.2737345,black gram
29,64,20,26.41768321,63.64698302,7.0267953589999985,64.42177127,black gram
59,74,16,32.81705216,66.15665137,6.814301033,68.83924882,black gram
50,55,19,29.6321052,65.91359954,7.42160832,71.16331975,black gram
43,67,19,33.49077065,62.73317204,6.8473828910000005,65.45328463,black gram
25,76,23,31.86847286,66.74217464,7.191522601,74.22238583,black gram
46,77,17,30.32992227,65.62971858,7.01285529,71.64631281,black gram
45,60,23,28.546224,66.31394098,7.368318809,62.83469851,black gram
31,71,21,30.02629908,67.88811637,7.26154329,66.47264636,black gram
41,68,17,31.65531175,60.13263713,6.52669158,66.69096751,black gram
27,62,17,30.33499674,63.54718862,6.872594461,74.16699119,black gram
58,65,19,33.36984395,65.67718163,6.874142175,64.89517488,black gram
28,61,15,31.4345059,62.99303471,7.76061831,64.77651469,black gram
29,60,22,27.71678273,63.29103387,6.781841984,68.56507978,black gram
43,80,19,32.63918668,61.3009051,7.326980454,61.83876146,black gram
22,75,20,32.7477393,67.77954584,7.453975408,63.37784443,black gram
28,30,42,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate
15,25,38,19.65690085,89.93701023,5.937649577999999,108.0458926,pomegranate
